Gene	Hits	Length
A1BG	0	16043
NAT2	0	9969
ADA	1	32214
CDH2	19	226516
AKT3	23	355352
GAGE12F	1	15729
ZBTB11-AS1	0	2784
MED6	0	16428
NR2E3	0	7704
NAALAD2	2	57962
SNORD116-2	0	13675
SNORD116-3	0	16344
SNORD116-4	0	98
SNORD116-8	0	97
SNORD116-10	0	104
SNORD116-11	0	94
SNORD116-13	0	1178
SNORD116-16	0	94
SNORD116-20	0	1236
SNORD116-22	0	99
SNORD116-24	0	94
SNORD116-25	0	94
SNORD116-26	0	2170
SNORD115-4	0	82
SNORD115-5	0	82
SNORD115-6	0	82
SNORD115-7	0	82
SNORD115-8	0	82
SNORD115-10	0	59891
SNORD115-11	0	59866
SNORD115-13	0	82
SNORD115-14	0	81
SNORD115-16	0	82
SNORD115-17	0	3116
SNORD115-22	0	82
SNORD115-26	0	82
SNORD115-30	0	82
SNORD115-32	0	82
SNORD115-33	0	82
SNORD115-37	0	82
SNORD115-38	0	82
SNORD115-39	0	82
SNORD115-40	0	82
SNORD115-41	0	82
SNORD115-44	0	82
MIR675	0	73
SNORD116-28	0	93
SNORD115-48	0	76
SNORD115-24	0	71
SNORD115-27	0	76
SNORD115-28	0	74
SNORD115-45	0	53
SNORD115-47	0	33
DDTL	0	5723
TLX1NB	3	41826
NAALADL1	0	13720
GUSBP17	40	773445
ACOT8	0	15689
ABI1	5	114492
GNPDA1	0	12387
MIMT1	0	7653
KCNE3	1	12715
ZBTB33	1	7645
SNHG8	0	1062
CDH3	1	54807
TANK	9	99218
HAVCR1P1	0	1255
POM121C	2	69504
MCTS2	0	835
GAGE8	4	125617
SRA1	2	8027
SNORD119	0	96
SNORD19B	0	93
SNORD105B	0	92
SNORD123	0	88
UCKL1-AS1	1	3602
SNORD127	0	99
SNORD11B	0	112
SNORD12B	0	103
SNORD111B	0	101
LIN28B-AS1	0	4234
LINC00583	3	17637
SNORD58C	0	90
SCARNA27	0	126
SNORA84	0	136
SNORA36C	0	127
SNORA38B	0	132
SNORA70B	0	134
SNORA70C	0	136
SNORA11B	0	127
SNORA11C	0	127
HOTAIR	0	12649
ZGLP1	1	4755
FAM86JP	0	13424
FMR1-AS1	1	12728
MIR298	0	88
MIR300	0	82
VTRNA2-1	0	100
MIR450B	0	78
MIR890	0	77
MIR891B	0	79
MIR888	0	77
MIR892B	0	77
MIR541	0	84
MIR875	0	76
MIR876	0	81
MIR147B	0	80
MIR744	0	98
MIR665	0	72
MIR873	0	77
