group	group_name	seqnames	start	end	width	strand	name	uniprot_id	abs_summit	pileup	p_value	fold_enrichment	q_value	ID	annotation	gene_symbol	geneChr	geneStart
1	mm_th1_r1	chr1	6454463	6454687	225	*	Gata3	P23772	6454576	26	29.39977	14.0625	24.20992	1	Distal Intergenic	St18	1	6487231
1	mm_th1_r1	chr1	12175079	12175194	116	*	Gata3	P23772	12175126	6	7.9583	5.57958	3.81677	2	Distal Intergenic	Mir6341	1	12425986
1	mm_th1_r1	chr1	12644730	12644929	200	*	Gata3	P23772	12644833	9	12.08677	7.76699	7.64588	3	Distal Intergenic	Gm17644	1	12667563
1	mm_th1_r1	chr1	20740506	20740621	116	*	Gata3	P23772	20740557	7	8.2205	5.84795	4.05952	4	Distal Intergenic	Il17a	1	20730905
1	mm_th1_r1	chr1	20912673	20912908	236	*	Gata3	P23772	20912784	17	20.21864	11.34573	15.3629	5	Intron (ENSMUST00000189400.6/74229, intron 1 of 2)	Paqr8	1	20917840
1	mm_th1_r1	chr1	30812020	30812135	116	*	Gata3	P23772	30812071	7	9.18463	6.26959	4.94494	6	Promoter (1-2kb)	Phf3	1	30803546
1	mm_th1_r1	chr1	33883349	33883542	194	*	Gata3	P23772	33883462	14	19.62969	11.34644	14.8006	7	Promoter (<=1kb)	Bend6	1	33862695
1	mm_th1_r1	chr1	33990968	33991083	116	*	Gata3	P23772	33991028	7	9.45714	6.37667	5.18931	8	Intron (ENSMUST00000183034.4/13518, intron 3 of 102)	Dst	1	34005880
1	mm_th1_r1	chr1	36736984	36737105	122	*	Gata3	P23772	36737062	8	9.49493	6.5241	5.22245	9	Intron (ENSMUST00000208994.1/71166, intron 5 of 8)	4933424G06Rik	1	36744355
1	mm_th1_r1	chr1	36760579	36760736	158	*	Gata3	P23772	36760645	16	20.47273	11.64384	15.60975	10	Promoter (1-2kb)	Zap70	1	36761798
1	mm_th1_r1	chr1	36768876	36768993	118	*	Gata3	P23772	36768942	8	10.69932	7.05329	6.34718	11	Promoter (1-2kb)	Zap70	1	36766934
1	mm_th1_r1	chr1	36920669	36920815	147	*	Gata3	P23772	36920713	9	10.55295	7.07214	6.20941	12	Intron (ENSMUST00000027290.11/56030, intron 1 of 40)	Tmem131	1	36792191
1	mm_th1_r1	chr1	38883870	38884131	262	*	Gata3	P23772	38884024	8	9.38272	6.47017	5.12795	13	Intron (ENSMUST00000027249.11/98388, intron 3 of 6)	Chst10	1	38863875
1	mm_th1_r1	chr1	39714061	39714180	120	*	Gata3	P23772	39714101	9	11.46031	7.49906	7.05565	14	Intron (ENSMUST00000151913.2/619289, intron 2 of 14)	Rfx8	1	39665301
1	mm_th1_r1	chr1	40213454	40213586	133	*	Gata3	P23772	40213510	8	10.86119	7.11744	6.49876	15	Distal Intergenic	Il1r1	1	40225080
1	mm_th1_r1	chr1	40475657	40476113	457	*	Gata3	P23772	40475798	48	54.39195	19.37142	48.41582	16	Intron (ENSMUST00000167723.7/16182, intron 4 of 9)	Il18r1	1	40466006
1	mm_th1_r1	chr1	43536409	43536537	129	*	Gata3	P23772	43536486	13	16.30813	9.82112	11.63779	17	Promoter (2-3kb)	Nck2	1	43533569
1	mm_th1_r1	chr1	48881468	48881628	161	*	Gata3	P23772	48881566	10	11.85242	7.71659	7.42451	18	Distal Intergenic	C230029F24Rik	1	49244616
1	mm_th1_r1	chr1	50935431	50935595	165	*	Gata3	P23772	50935523	11	12.54831	8.02944	8.0778	19	Intron (ENSMUST00000114565.7/56363, intron 7 of 9)	Tmeff2	1	50927519
1	mm_th1_r1	chr1	51448550	51448975	426	*	Gata3	P23772	51448798	94	119.33755	31.17821	111.04306	20	Distal Intergenic	Nabp1	1	51471339
1	mm_th1_r1	chr1	51577789	51577904	116	*	Gata3	P23772	51577855	7	8.01871	5.75126	3.87166	21	Intron (ENSMUST00000189410.1/100045066, intron 3 of 3)	Gm17767	1	51509505
1	mm_th1_r1	chr1	51593839	51594168	330	*	Gata3	P23772	51593987	69	79.67843	23.23652	72.96779	22	Promoter (2-3kb)	Gm17767	1	51509505
1	mm_th1_r1	chr1	52229725	52229856	132	*	Gata3	P23772	52229801	9	8.44296	5.91716	4.26188	23	Promoter (2-3kb)	Gls	1	52165941
1	mm_th1_r1	chr1	53795127	53795418	292	*	Gata3	P23772	53795298	41	49.08604	19.53488	43.2665	24	Distal Intergenic	Stk17b	1	53755506
1	mm_th1_r1	chr1	53814492	53814650	159	*	Gata3	P23772	53814550	11	13.44211	8.48656	8.92081	25	Intron (ENSMUST00000120904.7/329152, intron 28 of 28)	Hecw2	1	53832692
1	mm_th1_r1	chr1	53852313	53852523	211	*	Gata3	P23772	53852406	25	26.89386	12.92246	21.79055	26	Promoter (2-3kb)	Mir7681	1	53849424
1	mm_th1_r1	chr1	53908473	53908665	193	*	Gata3	P23772	53908578	15	14.19385	8.28372	9.63133	27	Intron (ENSMUST00000120904.7/329152, intron 13 of 28)	Hecw2	1	53839017
1	mm_th1_r1	chr1	53909314	53909459	146	*	Gata3	P23772	53909401	14	12.88208	7.72002	8.39433	28	Intron (ENSMUST00000120904.7/329152, intron 13 of 28)	Hecw2	1	53839017
