seqnames	start	end	width	strand	gene_id	gene_symbol
chr19	58858172	58874214	16043	-	1	A1BG
chr8	18248755	18258723	9969	+	10	NAT2
chr20	43248163	43280376	32214	-	100	ADA
chr18	25530930	25757445	226516	-	1000	CDH2
chr1	243651535	244006886	355352	-	10000	AKT3
chrX	49217763	49233491	15729	+	100008586	GAGE12F
chr3	101395274	101398057	2784	+	100009676	ZBTB11-AS1
chr14	71050957	71067384	16428	-	10001	MED6
chr15	72102894	72110597	7704	+	10002	NR2E3
chr11	89867818	89925779	57962	+	10003	NAALAD2
chr15	25296623	25296719	97	+	100033413	SNORD116-1
chr15	25299356	25313030	13675	+	100033414	SNORD116-2
chr15	25302006	25318349	16344	+	100033415	SNORD116-3
chr15	25304684	25304781	98	+	100033416	SNORD116-4
chr15	25307479	25307575	97	+	100033417	SNORD116-5
chr15	25315578	25315674	97	+	100033420	SNORD116-8
chr15	25319260	25319363	104	+	100033422	SNORD116-10
chr15	25321075	25321168	94	+	100033423	SNORD116-11
chr15	25322197	25322290	94	+	100033424	SNORD116-12
chr15	25324204	25325381	1178	+	100033425	SNORD116-13
chr15	25326433	25326526	94	+	100033427	SNORD116-15
chr15	25327914	25328007	94	+	100033428	SNORD116-16
chr15	25330531	25330624	94	+	100033430	SNORD116-18
chr15	25332808	25334043	1236	+	100033431	SNORD116-20
chr15	25335059	25335157	99	+	100033433	SNORD116-22
chr15	25336932	25337025	94	+	100033434	SNORD116-23
chr15	25339183	25339276	94	+	100033435	SNORD116-24
chr15	25342809	25342902	94	+	100033436	SNORD116-25
chr15	25417782	25417863	82	+	100033437	SNORD115-2
chr15	25344645	25346814	2170	+	100033438	SNORD116-26
chr15	25420074	25420155	82	+	100033440	SNORD115-3
chr15	25421979	25422060	82	+	100033441	SNORD115-4
chr15	25423885	25423966	82	+	100033442	SNORD115-5
chr15	25425644	25425725	82	+	100033443	SNORD115-6
chr15	25427532	25427613	82	+	100033444	SNORD115-7
chr15	25429453	25429534	82	+	100033445	SNORD115-8
chr15	25430778	25436644	5867	+	100033446	SNORD115-9
chr15	25432683	25492573	59891	+	100033447	SNORD115-10
chr15	25434561	25494426	59866	+	100033448	SNORD115-11
chr15	25438468	25438549	82	+	100033450	SNORD115-13
chr15	25440068	25440148	81	+	100033451	SNORD115-14
chr15	25444595	25444676	82	+	100033454	SNORD115-16
chr15	25446470	25449585	3116	+	100033455	SNORD115-17
chr15	25455065	25455146	82	+	100033799	SNORD115-22
chr15	25460688	25460769	82	+	100033801	SNORD115-25
chr15	25463764	25463845	82	+	100033802	SNORD115-26
chr15	25470350	25470431	82	+	100033804	SNORD115-30
chr15	25472256	25472337	82	+	100033805	SNORD115-31
chr15	25474114	25474195	82	+	100033806	SNORD115-32
chr15	25475985	25476066	82	+	100033807	SNORD115-33
chr15	25479394	25479475	82	+	100033809	SNORD115-35
chr15	25483133	25483214	82	+	100033811	SNORD115-37
chr15	25484985	25485066	82	+	100033812	SNORD115-38
chr15	25486893	25486974	82	+	100033813	SNORD115-39
chr15	25488761	25488842	82	+	100033814	SNORD115-40
chr15	25490625	25490706	82	+	100033815	SNORD115-41
chr15	25496006	25496087	82	+	100033818	SNORD115-44
chr11	2017989	2018061	73	-	100033819	MIR675
chr15	25349788	25349880	93	+	100033820	SNORD116-28
chr15	25351667	25351751	85	+	100033821	SNORD116-29
chr15	25514930	25515005	76	+	100033822	SNORD115-48
chr15	25458806	25458876	71	+	100036563	SNORD115-24
chr15	25465650	25465725	76	+	100036564	SNORD115-27
chr15	25467501	25467574	74	+	100036565	SNORD115-28
chr15	25509674	25509726	53	+	100036566	SNORD115-45
chr15	25513664	25513696	33	+	100036567	SNORD115-47
chr22	24309026	24314748	5723	+	100037417	DDTL
chr10	102849078	102890903	41826	-	100038246	TLX1NB
chr11	64812295	64826014	13720	-	10004	NAALADL1
chr9	21994790	22121093	126304	+	100048912	CDKN2B-AS1
chr5	69812079	70585523	773445	-	100049076	GUSBP17
chr19	52145806	52150132	4327	-	100049587	SIGLEC14
chr20	44470360	44486048	15689	-	10005	ACOT8
chr10	27035525	27150016	114492	-	10006	ABI1
chr5	141380234	141392620	12387	-	10007	GNPDA1
chr19	57352270	57359922	7653	+	100073347	MIMT1
chr11	74165886	74178600	12715	-	10008	KCNE3
chrX	119384607	119392251	7645	+	10009	ZBTB33
chr4	119199917	119200978	1062	+	100093630	SNHG8
chrX	13328771	13338052	9282	+	100093698	GS1-600G8.3
chr16	68678151	68732957	54807	+	1001	CDH3
chr2	161993466	162092683	99218	+	10010	TANK
chr19	24344995	24346249	1255	-	100101266	HAVCR1P1
chr7	75046065	75115568	69504	-	100101267	POM121C
chr18	32831023	32870196	39174	-	100101467	ZSCAN30
chr20	30135185	30136019	835	+	100101490	MCTS2
chrX	49188094	49313710	125617	+	100101629	GAGE8
chr13	19836940	19919113	82174	-	100101938	ANKRD26P3
chr5	139929652	139937678	8027	-	10011	SRA1
chr20	2443598	2443693	96	-	100113378	SNORD119
chr9	33952762	33952852	91	-	100113379	SNORD121A
chr3	52724754	52724846	93	+	100113381	SNORD19B
chr19	10220425	10220516	92	+	100113382	SNORD105B
chr5	9548939	9549026	88	+	100113384	SNORD123
chr20	62584737	62588338	3602	+	100113386	UCKL1-AS1
chr14	45580078	45580176	99	+	100113389	SNORD127
chr14	20794600	20794698	99	-	100113391	SNORD126
chr2	203156040	203156151	112	+	100113392	SNORD11B
chr20	47896850	47896952	103	+	100113393	SNORD12B
chr16	70563402	70563502	101	+	100113402	SNORD111B
chr6	105384169	105388402	4234	-	100113403	LIN28B-AS1
chr9	13927970	13945606	17637	+	100113404	LINC00583
chr6	11538460	11583757	45298	+	100113407	TMEM170B
chr15	102495088	102496558	1471	+	100124412	FAM138E
chr18	47015605	47015694	90	-	100124516	SNORD58C
chr6	8086641	8086766	126	-	100124533	SCARNA27
chr9	95054740	95054875	136	-	100124534	SNORA84
